"","Phenotype_Name","Phenotype_Discription","Phenotype_Symptoms","Phenotype_Treatment","Phenotype_Age","Phenotype_Gender","Phenotype_Number"
"11","Alcohol addiction","Alcoholism is a disease characterized by craving, the inability to control drinking, withdrawal symptoms, such as nausea, sweating or shakiness after stopping drinking and increasing tolerance.","Fatigue;Anxious mood;Depressed mood;Ruminating thoughts;Pain;Insomnia;Guilt related to addiction;Craving alcohol","Alcoholics Anonymous (AA);Aripiprazole;
more
;Gabapentin;
more
;Bupropion;
more
;Duloxetine;
more
;Naltrexone;Paroxetine;
more
;Sertraline;
more
;Amitriptyline;
more
;Buspirone","<20;4;20s;228;30s;542;40s;615;50s;478;60s;224;70+;48","Female=64%;Male=36%",11
"12","Drug addiction","Physical dependence on a drug refers to a state resulting from chronic use of a drug that has produced tolerance and where negative physical symptoms of withdrawal result from abrupt discontinuation or dosage reduction.","Anxious mood;Fatigue;Depressed mood;Ruminating thoughts;Pain;Guilt related to addiction;Craving drugs;Insomnia","Narcotics Anonymous (NA);Clonazepam;
more
;Group Therapy;Trazodone;Gabapentin;
more
;Hydroxyzine;Alprazolam;Aripiprazole;
more
;Buprenorphine;
more
;Individual Therapy;
more
","<20;8;20s;310;30s;662;40s;570;50s;392;60s;149;70+;28","Female=69%;Male=31%",12
"13","Tobacco addiction","Tobacco and nicotine have a potential for addiction that is similar to alcohol and other addictive substance. Nicotine withdrawal creates anxiety, irritability, headache, hunger, and a craving for cigarettes or other sources of nicotine.","Fatigue;Depressed mood;Craving nicotine;Anxious mood;Pain;Ruminating thoughts;Insomnia;Guilt related to addiction","Bupropion;
more
;Smoking Cessation Therapy;Hydrocodone-Acetaminophen;
more
;Clonazepam;
more
;Quetiapine;Varenicline;
more
;Gabapentin;Tramadol;
more
;Amitriptyline;
more
;Ibuprofen","<20;1;20s;352;30s;964;40s;1,060;50s;741;60s;335;70+;82","Female=72%;Male=28%",13
"14","Bipolar I disorder","Bipolar I disorder is a mood disorder that is characterized by at least one manic or mixed episode. There may be episodes of hypomania or major depression as well. It is considered a sub-diagnosis of bipolar disorder, and conforms to the classic concept of manic-depressive illness.","Fatigue;Anxious mood;Irritability;Depressed mood;Flight of ideas;Pain;Insomnia;Excitability;Paranoia;Grandiose thinking;Delusions;Hallucinations","Quetiapine;
more
;Lamotrigine;
more
;Individual Therapy;
more
;Lurasidone;
more
;Lithium Carbonate;
more
;Clonazepam;
more
;Bupropion;
more
;Fluoxetine;
more
;Aripiprazole;
more
;Trazodone;
more
","<20;29;20s;505;30s;1,078;40s;1,329;50s;969;60s;338;70+;41","Female=80%;Male=20%",14
"15","Bipolar II disorder","Bipolar II disorder is a bipolar spectrum disorder characterized by at least one hypomanic episode and at least one major depressive episode; with this disorder, depressive episodes are more frequent and more intense than manic episodes.","Fatigue;Anxious mood;Irritability;Depressed mood;Flight of ideas;Pain;Insomnia;Excitability;Grandiose thinking","Lamotrigine;
more
;Quetiapine;
more
;Individual Therapy;
more
;Lithium Carbonate;
more
;Lurasidone;
more
;Clonazepam;
more
;Bupropion;
more
;Trazodone;
more
;Sertraline;
more
;Gabapentin;
more
","<20;34;20s;694;30s;1,457;40s;1,996;50s;1,394;60s;502;70+;64","Female=82%;Male=18%",15
"16","Persistent depressive disorder (dysthymia)","Dysthymia is a chronic type of depression but with less severity than major depressive disorder. It is characterized by a depressed mood for most of the day, for more days than not. Some symptoms include, feelings of hopelessness, low self esteem, poor appetite or overeating, and poor concentration.","Lack of motivation;Fatigue;Low self esteem;Depressed mood;Anxious mood;Problems concentrating;Pain;Inability to experience pleasure (anhedonia);Insomnia;Muscle tension;Back pain;Headaches;Stomach pain;Dizziness;Nausea;Hyperventilation","Bupropion;
more
;Sertraline;
more
;Venlafaxine;
more
;Fluoxetine;
more
;Individual Therapy;
more
;Duloxetine;
more
;Clonazepam;
more
;Citalopram;
more
;Trazodone;
more
;Escitalopram;
more
","<20;47;20s;1,078;30s;2,530;40s;2,866;50s;2,610;60s;1,398;70+;297","Female=65%;Male=35%",16
"17","Eating disorder","Eating disorders are a group of disorders characterized by physiological and psychological disturbances in eating behavior, appetite or food intake.","Fatigue;Anxious mood;Depressed mood;Preoccupation with food;Pain;Insomnia;Binge eating episodes;Compulsive exercising;Purging","Clonazepam;
more
;Individual Therapy;
more
;Quetiapine;
more
;Lorazepam;
more
;Zolpidem;Alprazolam;
more
;Dietitian;Trazodone;Amphetamine-Dextroamphetamine;
more
;Buspirone;
more
","<20;23;20s;556;30s;748;40s;657;50s;489;60s;224;70+;56","Female=86%;Male=14%",17
"18","Generalized anxiety disorder","An anxiety disorder characterized by free-floating, persistent, and excessive worry for at least six months. Symptoms are variable but include complaints of persistent nervousness, trembling, muscular tensions, sweating, lightheadedness, palpitations, dizziness, and epigastric discomfort.","Anxious mood;Fatigue;Persistent worry;Problems concentrating;Restlessness (akathisia);Depressed mood;Pain;Insomnia","Individual Therapy;
more
;Venlafaxine;
more
;Clonazepam;
more
;Sertraline;
more
;Duloxetine;
more
;Buspirone;
more
;Fluoxetine;
more
;Gabapentin;
more
;Trazodone;
more
;Escitalopram;
more
","<20;303;20s;3,586;30s;7,474;40s;8,109;50s;5,943;60s;2,493;70+;448","Female=71%;Male=29%",18
"19","Major depressive disorder","Major depressive disorder, also known as clinical depression, is marked by depressed mood, inactivity, lack of interest, insomnia, feelings of worthlessness, diminished ability to think, and may include thoughts of suicide.","Lack of motivation;Fatigue;Low self esteem;Depressed mood;Problems concentrating;Anxious mood;Muscle tension;Pain;Inability to experience pleasure (anhedonia);Insomnia;Back pain;Headaches;Stomach pain;Dizziness;Nausea;Hyperventilation","Bupropion;
more
;Duloxetine;
more
;Sertraline;
more
;Individual Therapy;
more
;Venlafaxine;
more
;Fluoxetine;
more
;Escitalopram;
more
;Citalopram;
more
;Clonazepam;
more
;Trazodone;
more
","<20;557;20s;4,449;30s;8,331;40s;11,545;50s;11,322;60s;5,352;70+;848","Female=77%;Male=23%",19
"20","Obsessive-compulsive disorder","Obsessive compulsive disorder (OCD) is an anxiety disorder characterized by recurrent, persistent obsessions or compulsions. Obsessions are the intrusive ideas, thoughts, or images and compulsions are repetitive and seemingly purposeful behavior generally recognized as senseless.","Fatigue;Anxious mood;Intrusive thoughts images or impulses;Depressed mood;Ritual or repeated behaviors;Pain;Insomnia","Fluoxetine;
more
;Individual Therapy;
more
;Sertraline;
more
;Clonazepam;
more
;Escitalopram;
more
;Gabapentin;
more
;Hydroxyzine;Fluvoxamine;
more
;Bupropion;
more
;Trazodone;
more
","<20;58;20s;732;30s;1,134;40s;1,081;50s;731;60s;286;70+;69","Female=77%;Male=23%",20
"21","Postpartum depression","Postpartum depression (PPD), also called postnatal depression, is a form of clinical depression which can affect women, and less frequently men, after childbirth.","Fatigue;Anxious mood;Depressed mood;Guilt or self blame;Insomnia;Pain;Ambivalent feelings towards infant;Difficulty bonding with infant","Sertraline;
more
;Citalopram;
more
;Clonazepam;
more
;Bupropion;Individual Therapy;Venlafaxine;Escitalopram;
more
;Fluoxetine;
more
;Duloxetine;Propranolol;
more
","<20;52;20s;622;30s;722;40s;547;50s;297;60s;133;70+;32","Female=97%;Male=3%",21
"22","Panic disorder","Panic disorder is a specific psychological phenomenon characterized by sudden onset of anxiety (often unrelated to objective events), accompanied by autonomic symptoms such as tachycardia, paresthesia, flushing, and sweating.","Fatigue;Anxious mood;Depressed mood;Pain;Insomnia;Panic attacks;Sweating;Shortness of breath (dyspnea);Heart palpitations;Dizziness and feeling faint","Clonazepam;
more
;Lorazepam;
more
;Alprazolam;
more
;Sertraline;
more
;Fluoxetine;
more
;Venlafaxine;
more
;Trazodone;
more
;Gabapentin;
more
;Buspirone;
more
;Escitalopram;
more
","<20;81;20s;1,635;30s;3,935;40s;4,339;50s;3,408;60s;1,389;70+;228","Female=72%;Male=28%",22
"23","Phobic disorder","Phobias involve persistent, unrealistic, intense anxiety about and fear of certain situations, circumstances, or objects.  Symptoms vary depending on the specific fear involved.","Anxious mood;Fatigue;Avoidance of situations;Anticipatory anxiety;Depressed mood;Pain;Insomnia;Panic attacks","Clonazepam;Naproxen Prescription;Quetiapine;Alprazolam;Propranolol;
more
;Diazepam;Paroxetine;Tramadol;
more
;Armodafinil;
more
;Counseling","<20;1;20s;342;30s;593;40s;553;50s;483;60s;227;70+;51","Female=79%;Male=21%",23
"24","Post-traumatic stress disorder","Post-traumatic stress disorder (PTSD), a mental health condition triggered by a traumatic event, is characterized by many symptoms including flashbacks, nightmares, anxiety, and hypervigilance. PTSD is also sometimes called Post-traumatic stress (PTS) or Post-traumatic stress injury (PTSI).","Fatigue;Anxious mood;Brain fog;Depressed mood;Intrusive thoughts images or impulses;Pain;Startle easily (hyperexplexia);Anger;Hypervigilance;Inability to experience pleasure (anhedonia);Insomnia;Flashbacks;Aggression;Nightmares","Sertraline;
more
;Prazosin;
more
;Fluoxetine;
more
;Individual Therapy;
more
;Venlafaxine;
more
;Clonazepam;
more
;Cognitive Behavioral Therapy (CBT);
more
;Trazodone;
more
;Citalopram;
more
;Hydroxyzine;
more
","<20;147;20s;2,377;30s;5,936;40s;6,679;50s;5,257;60s;2,268;70+;438","Female=64%;Male=36%",24
"25","Schizophrenia","Schizophrenia is a psychiatric disorder characteristically marked by a retreat from reality with delusion formation, hallucinations, emotional disharmony, and regressive behavior.","Disorganized thinking;Anxious mood;Depressed mood;Fatigue;Insomnia;Pain;Auditory hallucinations;Delusions;Visual hallucinations","Quetiapine;
more
;Risperidone;
more
;Clonazepam;
more
;Aripiprazole;
more
;Olanzapine;
more
;Gabapentin;
more
;Hydroxyzine;Lurasidone;
more
;Haloperidol;
more
;Individual Therapy","<20;17;20s;196;30s;233;40s;210;50s;123;60s;57;70+;9","Female=59%;Male=41%",25
"26","Social anxiety disorder","Social anxiety or phobia is characterized by overwhelming anxiety and excessive self-consciousness in everyday social situations. Social phobia can be limited to one type of situation or, in its most severe form, one may experience symptoms anytime they are around other people.","Avoidance of situations;Fatigue;Anticipatory anxiety;Anxious mood;Depressed mood;Fear of embarrassment;Pain;Insomnia;Panic attacks","Lorazepam;
more
;Clonazepam;
more
;Individual Therapy;
more
;Paroxetine;
more
;Sertraline;
more
;Alprazolam;
more
;Hydroxyzine;
more
;Venlafaxine;
more
;Trazodone;
more
;Gabapentin;
more
","<20;82;20s;1,039;30s;1,830;40s;1,664;50s;1,177;60s;536;70+;105","Female=76%;Male=24%",26
"27","Myalgic encephalomyelitis/chronic fatigue syndrome","Myalgic Encephalomyelitis/Chronic Fatigue Syndrome which may also be known as Systemic exertion intolerance disease is characterized by persistent or recurrent fatigue, diffuse musculoskeletal pain, sleep disturbances, and subjective cognitive impairment of 6 months duration or longer.","Weather or temperature sensitivity;Sensitivity to sound or noise;Fatigue;Exhaustion;Orthostatic intolerance;Muscle pain;Light sensitivity (photophobia);Pain;Brain fog;Headaches;Anxious mood;Insomnia;Depressed mood","Pregabalin;
more
;Duloxetine;
more
;Amitriptyline;
more
;Tramadol;
more
;Gabapentin;
more
;Clonazepam;
more
;Hydrocodone-Acetaminophen;
more
;Trazodone;
more
;Naltrexone;
more
;Venlafaxine;
more
","<20;47;20s;520;30s;1,562;40s;3,282;50s;3,791;60s;2,301;70+;477","Female=90%;Male=10%",27
"28","Progressive muscular atrophy","Progressive muscular atrophy is one of a group of disorders marked by progressive degeneration of motor neurons in the spinal cord resulting in weakness and muscular atrophy, usually without evidence of injury to the corticospinal tracts.","Fatigue;Stiffness/Spasticity;Muscle twitching (fasciculations);Anxious mood;Pain;Depressed mood;Emotional lability;Insomnia;Constipation;Excessive yawning;Excess saliva","Riluzole;
more
;Baclofen;Clonazepam;Alprazolam;Baking Soda;Bromazepam;Cannabidiol;Carbidopa-Levodopa;Deanna Protocol;Escitalopram;
more
","<20;0;20s;8;30s;21;40s;38;50s;57;60s;76;70+;56","Female=34%;Male=66%",28
"29","Primary lateral sclerosis","Primary lateral sclerosis (PLS) is a rare neuromuscular disease characterized by progressive muscle weakness in the voluntary muscles. PLS belongs to a group of disorders known as motor neuron diseases.","Stiffness/Spasticity;Fatigue;Muscle twitching (fasciculations);Pain;Anxious mood;Emotional lability;Excess saliva;Depressed mood;Insomnia;Constipation;Excessive yawning","Baclofen;
more
;Riluzole;
more
;Tizanidine;
more
;Dextromethorphan-Quinidine;Amitriptyline;
more
;Citalopram;Lunasin;Acupuncture;Cannabis;Gabapentin","<20;2;20s;5;30s;16;40s;61;50s;161;60s;195;70+;149","Female=59%;Male=41%",29
"30","Tuberculosis","Tuberculosis is a chronic, progressive infection with a period of latency following initial infection. Although it occurs most commonly in the lungs it may occur in almost any organ system in the body, including the lymph nodes, bones/joints, gastrointestinal tract, pericardium, eyes, and skin.","Fatigue;Pain;Depressed mood;Insomnia;Anxious mood","Isoniazid;Rifampin;
more
;Duloxetine;Escitalopram;Fentanyl;Gabapentin;Lorazepam;L-Theanine;Melatonin;Naproxen OTC","<20;0;20s;30;30s;32;40s;25;50s;18;60s;10;70+;3","Female=50%;Male=50%",30
"31","Lyme disease","Lyme Disease is caused by Borrelia burgdorferi. Early manifestations of infection may include fever, headache, fatigue, depression, and a characteristic skin rash called erythema migrans. Left untreated, late manifestations involving the joints, heart, and nervous system can occur.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Doxycycline;
more
;Ceftriaxone;
more
;Azithromycin;
more
;Banderol;Sertraline;
more
;Clarithromycin;Cyclobenzaprine;Gabapentin;Glutathione;Hydrocodone-Acetaminophen","<20;20;20s;101;30s;185;40s;302;50s;342;60s;196;70+;54","Female=80%;Male=20%",31
"32","Glomerulonephritis","Glomerulonephritis (GN), also known as nephritic syndrome, is an inflammation of the glomeruli, structures in the kidneys that perform the first step in filtering blood to form urine. GN can damage the kidneys and lead to kidney failure.","Fatigue;Blood in urine (hematuria);Insomnia;Anxious mood;Depressed mood;Edema (fluid retention);Pain","Escitalopram;Hydrocodone-Acetaminophen;Ibuprofen","<20;3;20s;8;30s;42;40s;62;50s;61;60s;36;70+;14","Female=66%;Male=34%",32
"33","Breast cancer","Breast cancer forms in tissues of the breast, usually the ducts (tubes that carry milk to the nipple) and lobules (glands that make milk). It occurs in both men and women, although male breast cancer is rare.","Generalized weakness (asthenia);Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Chemotherapy;
more
;Mastectomy;
more
;Radiation Therapy;
more
;Lumpectomy;
more
;Lymph node removal (Lymphadenectomy);
more
;Tamoxifen;
more
;Anastrozole;
more
;Breast Reconstruction;
more
;Letrozole;
more
;Hydrocodone-Acetaminophen","<20;1;20s;67;30s;219;40s;678;50s;1,177;60s;875;70+;247","Female=97%;Male=3%",33
"34","Systemic lupus erythematosus","Systemic lupus erythematosus is a chronic autoimmune disorder primarily involving connective tissue. It affects multiple systems including the skin, joints, kidneys, lungs, heart, and the peripheral blood cells. Treatments vary according to the area affected and may include drugs or supportive care.","Muscle pain;Fatigue;Raynaud's phenomenon;Headaches;Joint pain;Pain;Joint swelling;Skin sensitivity to sun (Photosensitivity);Chest pain;Insomnia;Anxious mood;Depressed mood","Hydroxychloroquine;
more
;Prednisone;
more
;Methotrexate;
more
;Belimumab;
more
;Naproxen OTC;
more
;Mycophenolate mofetil;
more
;Azathioprine;
more
;Tramadol;
more
;Gabapentin;
more
;Hydrocodone-Acetaminophen;
more
","<20;122;20s;1,344;30s;4,278;40s;7,971;50s;6,807;60s;2,875;70+;459","Female=97%;Male=3%",34
"35","Crohn's disease","Crohn's disease is a type of inflammatory bowel disease that may affect any part of the gastrointestinal tract from mouth to anus. It may cause a wide variety of symptoms including abdominal pain, diarrhea, vomiting, or weight loss.","Bowel urgency;Fatigue;Decreased appetite;Mucus in stool;Pain;Abdominal pain;Vomiting;Blood in stool;Anxious mood;Diarrhea;Depressed mood;Insomnia","Adalimumab;
more
;Mesalamine;
more
;Infliximab;
more
;Budesonide;
more
;Azathioprine;
more
;Prednisone;
more
;Sulfasalazine;
more
;Tramadol;
more
;Certolizumab;
more
;Methotrexate;
more
","<20;134;20s;553;30s;902;40s;1,359;50s;1,190;60s;599;70+;131","Female=75%;Male=25%",35
"36","Ulcerative colitis","Ulcerative colitis is a type of inflammatory bowel disease that results in chronic inflammation and ulceration in the lining of the large intestine (colon). It often results in symptoms such as abdominal pain, cramps, and loose discharges of pus, blood, and mucus in the stool.","Bowel urgency;Fatigue;Mucus in stool;Pain;Abdominal pain;Anxious mood;Depressed mood;Insomnia;Diarrhea;Blood in stool","Mesalamine;
more
;Prednisolone;
more
;Adalimumab;
more
;Infliximab;
more
;Azathioprine;
more
;Prednisone;
more
;Mesalamine (rectal);Sulfasalazine;
more
;Budesonide;
more
;Vedolizumab;
more
","<20;33;20s;204;30s;372;40s;424;50s;387;60s;232;70+;72","Female=70%;Male=30%",36
"37","Oral herpes","Oral herpes simplex is caused by human herpesviruses 1 and 2 (HSV-1 or HSV-2). It is characterized by small fluid-filled vesicles on the skin or a mucous membrane with a raised base often referred to as cold sores or fever blisters.","Fatigue;Pain;Depressed mood;Anxious mood;Cold sores (fever blisters);Insomnia","Acyclovir;Hydroxyzine;Mirtazapine;
more
;5-Hydroxytryptophan (5-HTP);Chlorzoxazone;Duloxetine;Famciclovir;Fluoxetine;Holy Basil (Tulsi);L-Carnitine","<20;1;20s;17;30s;37;40s;22;50s;15;60s;12;70+;1","Female=69%;Male=31%",37
"38","Shingles (herpes zoster)","Shingles is a disorder caused by reactivation of the varicella zoster virus (chickenpox) that has remained dormant, often for decades, after the patient's initial exposure to the virus. It may cause severe pain and blistering along the path of the affected nerve.","Fatigue;Nerve pain (neuralgia);Pain;Depressed mood;Insomnia;Anxious mood;Shingles rash","Acyclovir;
more
;Gabapentin;
more
;Valacyclovir;
more
;Tramadol;Trazodone;Diclofenac;Hydrocodone-Acetaminophen;
more
;Pregabalin;
more
;Famciclovir;Ibuprofen","<20;3;20s;18;30s;45;40s;75;50s;134;60s;88;70+;40","Female=77%;Male=23%",38
"39","Polycystic kidney disease","A genetic disorder characterized by cysts in the kidneys. The more common type is autosomal dominant trait and usually appears at middle age. Patients with the autosomal recessive trait type present with progressive renal failure early in life.","Fatigue;Insomnia;Pain;Anxious mood;Depressed mood","Buspirone;Duloxetine;Gabapentin;Hydrocodone-Acetaminophen;Ibuprofen;Nephrectomy;Sertraline;Tramadol;
more
;Acupuncture;Amphetamine-Dextroamphetamine","<20;3;20s;25;30s;56;40s;96;50s;165;60s;97;70+;27","Female=67%;Male=33%",39
"40","Human herpesvirus 6","Human Herpesvirus 6 (HHV-6) is one of the eight known viruses that are members of the human herpesvirus family.  HHV-6 is the cause of a common childhood condition known as roseola. It remains latent in most people and can reactivate later in immunocompromised patients.","Pain;Anxious mood;Fatigue;Depressed mood;Insomnia","Tramadol;Valganciclovir;Acupuncture;Armodafinil;Cyclobenzaprine;Ibuprofen;Milnacipran;Mirtazapine;Naproxen OTC;Valacyclovir","<20;0;20s;4;30s;5;40s;7;50s;9;60s;2;70+;2","Female=87%;Male=13%",40
"41","Maple syrup urine disease","Maple syrup urine disease is an inherited disorder in which the body is unable to process certain protein building blocks (amino acids) properly. The condition gets its name from the distinctive sweet odor of affected infants' urine.","Anxious mood;Fatigue;Depressed mood;Insomnia;Pain","","<20;0;20s;1;30s;0;40s;1;50s;0;60s;0;70+;0","Female=50%;Male=50%",41
"42","Discoid lupus erythematosus","A chronic form of cutaneous lupus erythematosus that is characterized by the presence of discoid skin plaques showing varying degrees of swelling , redness, scaliness, and skin atrophy.  The condition typically involves the face and scalp, but it can be more widespread.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Hydroxychloroquine;
more
;Hydrocortisone topical;Tramadol;Triamcinolone topical;Gabapentin;Diclofenac;Hydrocodone-Acetaminophen;Duloxetine;Pregabalin;Alprazolam","<20;4;20s;79;30s;310;40s;558;50s;490;60s;176;70+;29","Female=95%;Male=5%",42
